,testID,assessmentItemID,difficultyLevel,discriminationLevel,guessLevel,knowledgeTag,Timestamp
0,A070000001,A070001009,0.5705385627,1.6766064432,0.052382266,116,2021-01-08 06:08:25.336946
1,A070000001,A070001006,-0.6145731723,1.6027377673,0.1314389047,608,2021-01-08 06:08:25.336946
2,A070000001,A070001007,-0.9984339541,2.944684636,0.0035246854,116,2021-01-08 06:08:25.336946
3,A070000001,A070001002,0.5816418091,1.8988528421,0.1643730985,608,2021-01-08 06:08:25.336946
4,A070000001,A070001001,-1.1778566423,2.1555549903,0.0036930953,607,2021-01-08 06:08:25.336946
5,A070000001,A070001008,-0.3287998897,2.7148903581,0.0652686986,116,2021-01-08 06:08:25.336946
6,A070000001,A070001003,0.3846014173,2.2476832918,0.1574801304,607,2021-01-08 06:08:25.336946
7,A070000001,A070001004,0.4057475589,1.6028881461,0.1906691604,608,2021-01-08 06:08:25.336946
8,A070000001,A070001005,0.0265625818,2.3494320277,0.2335763651,608,2021-01-08 06:08:25.336946
9,A070000002,A070002007,-0.6846775612,2.2813121904,0.0107229748,116,2021-01-08 06:08:25.336946
10,A070000002,A070002003,1.4368726318,6.3092793725,0.1747116512,607,2021-01-08 06:08:25.336946
11,A070000002,A070002004,-0.9020246228,1.8023543149,0.001512132,608,2021-01-08 06:08:25.336946
12,A070000002,A070002005,-0.1727470091,1.4931394118,2.099e-07,607,2021-01-08 06:08:25.336946
13,A070000002,A070002001,-0.4645917972,2.0966496368,0.170462807,607,2021-01-08 06:08:25.336946
14,A070000002,A070002008,0.1478163996,2.912498505,4.9899e-06,116,2021-01-08 06:08:25.336946
15,A070000002,A070002006,-0.4425381485,1.4587211722,0.0007270859,608,2021-01-08 06:08:25.336946
16,A070000002,A070002002,-0.7069887097,1.0515306721,9.61516e-05,608,2021-01-08 06:08:25.336946
17,A070000002,A070002009,1.0983615784,3.237354717,0.1698479015,3821,2021-01-08 06:08:25.336946
18,A070000003,A070003009,1.3735420464,28.3764133678,0.2290542865,3793,2021-01-08 06:08:25.336946
19,A070000003,A070003007,1.101554116,7.5534250432,0.0658351477,116,2021-01-08 06:08:25.336946
20,A070000003,A070003006,0.6455167587,1.9851386306,0.0155528946,3793,2021-01-08 06:08:25.336946
21,A070000003,A070003001,-0.467078138,2.2105857885,4.562e-07,3793,2021-01-08 06:08:25.336946
22,A070000003,A070003005,0.0919981755,1.4512903594,7.167e-07,3792,2021-01-08 06:08:25.336946
23,A070000003,A070003004,-0.8012714223,1.4304318946,2.0167e-06,117,2021-01-08 06:08:25.336946
24,A070000003,A070003002,-0.3548634402,1.7828772652,3.125e-07,3793,2021-01-08 06:08:25.336946
25,A070000003,A070003003,-0.0399306439,1.4003754236,0.0905701659,3793,2021-01-08 06:08:25.336946
26,A070000003,A070003008,0.7293679801,59.4927150701,1.9322e-06,3793,2021-01-08 06:08:25.336946
27,A070000004,A070004002,-0.9005262528,1.2211562564,1.5211e-06,3793,2021-01-08 06:08:25.336946
28,A070000004,A070004006,1.0659126634,1.8512059684,0.137855394,3792,2021-01-08 06:08:25.336946
29,A070000004,A070004004,0.0054465813,1.2573935814,0.0210383672,3792,2021-01-08 06:08:25.336946
30,A070000004,A070004005,0.8773695849,2.572870897,2.4e-09,3792,2021-01-08 06:08:25.336946
31,A070000004,A070004008,0.6137921164,21.1745325063,0.1103776474,3793,2021-01-08 06:08:25.336946
32,A070000004,A070004001,-1.1472430839,1.4847005055,3.36981e-05,3793,2021-01-08 06:08:25.336946
33,A070000004,A070004009,1.3218341664,3.4383571675,0.0031720917,3794,2021-01-08 06:08:25.336946
34,A070000004,A070004003,0.1643478161,1.4523635119,3.3641e-06,3793,2021-01-08 06:08:25.336946
35,A070000004,A070004007,1.2742670955,3.6401401938,0.0101224185,3794,2021-01-08 06:08:25.336946
36,A070000005,A070005003,0.197377394,3.1637126801,0.184886029,117,2021-01-08 06:08:25.336946
37,A070000005,A070005001,0.1135742967,3.0365801194,0.1108529402,3794,2021-01-08 06:08:25.336946
38,A070000005,A070005004,-0.0134674512,2.6311633803,0.000208443,3794,2021-01-08 06:08:25.336946
39,A070000005,A070005005,0.6868273312,0.8572493084,0.015471403,3794,2021-01-08 06:08:25.336946
40,A070000005,A070005009,0.1451613701,1.0119267886,0.0002931224,3794,2021-01-08 06:08:25.336946
41,A070000005,A070005006,0.0498156647,10.5177469401,0.2597299884,3794,2021-01-08 06:08:25.336946
42,A070000005,A070005007,0.5483277855,3.7801375212,0.1899312137,3794,2021-01-08 06:08:25.336946
43,A070000005,A070005008,1.0473280098,4.4209789406,0.217822216,3794,2021-01-08 06:08:25.336946
44,A070000005,A070005002,-0.442752912,2.0472170044,0.0052245745,117,2021-01-08 06:08:25.336946
45,A070000006,A070006003,1.1882568039,1.3795414637,0.1939861556,3795,2021-01-08 06:08:25.336946
46,A070000006,A070006002,-0.4261191015,0.9319448375,0.0152962226,117,2021-01-08 06:08:25.336946
47,A070000006,A070006009,0.8631942868,0.8560568785,0.1653559772,117,2021-01-08 06:08:25.336946
48,A070000006,A070006006,0.7345036323,7.5953789601,0.1918206423,117,2021-01-08 06:08:25.336946
49,A070000006,A070006001,2.1772835698,6.4197291036,0.299946142,117,2021-01-08 06:08:25.336946
50,A070000006,A070006005,-0.0350376797,8.1191483132,0.0890892166,117,2021-01-08 06:08:25.336946
51,A070000006,A070006007,0.8697920467,7.9170070479,0.2911860468,3794,2021-01-08 06:08:25.336946
52,A070000006,A070006008,0.1327560148,1.4036498726,0.018279489,3794,2021-01-08 06:08:25.336946
53,A070000006,A070006004,-0.0692264752,4.1256892186,0.0961683277,3794,2021-01-08 06:08:25.336946
